영화명,리뷰,word
카오산 탱고,카오산 가고싶은 영화옛사랑 떠올리는 영화카오산로드에서 술한잔먹으며 옛사랑 떠올리는 영화,옛사랑 떠올리다 한잔 옛사랑 떠올리다 
욕창,저는 춤추는 장면이 마음에 남아요,춤추다 마음 
바다로 가자,아 이런 아픔을 공유한 사람이 나뿐만이 아니구나,아픔 
국도극장,장면 하나하나가 마치 액자처럼 담백했어요 오씨처럼 살아가면 벌교에선 죽음 마저 평화로울 것 같아요,액자 담백하다 살아가다 벌교 죽음 평화롭다 
국도극장,작품도 배우들 연기도 참 좋다,좋다 
레미: 집 없는 아이,최근 10년 동안 최고의 영화,최고 
레미: 집 없는 아이,너무너무 좋았어요 가슴 따뜻해지는 이야기,좋다 따뜻하다 
런 보이 런,의리있는 진정한 체육인들   현실은 왜 그런건지,의리 진정하다 체육 현실 
런 보이 런,구닥다리 학원 조폭 놀이,다리 학원 조폭 놀이 
런 보이 런,우리들의 청춘을 말하는거 같았다,청춘 
언더워터,뱅상은 볼때마다 콜플 크리스 닮았어,크리스 닮다 
언더워터,심해 밑바닥 영화는 대놓고 첨이죠 재밌게 봤습니다 시리즈 나왔음 합니다,심해 밑바닥 재밌다 시리즈 
언더워터,그럭저럭 긴장감도 있고 괜찮음,긴장감 괜찮다 
언더워터,스토리도 이해 안가고 어두운 영상 잘 보이지도 않고,스토리 
언더워터,시간때우기 좋은 심해스릴영화,좋다 심해 스릴 
언더워터,재미있게 봤는데 끝이 조금 아쉬움,재미있다 아쉬움 
언더워터,수십년전에 보았던 딥 식스나 레비아탄에서 조금도 나아가지 못함,레비아탄 나아가다 
언더워터,초반에 뭔가 내용이 있겠지 하고 긴장하고 봤는데 특별한 내용이 암것도 없음,긴장 특별하다 
언더워터,타임킬링정도로 괜찮은 영화,타임 킬링 괜찮다 
그집,빈약한 이야기를 늘여 놓은 느낌,빈약하다 
그집,이거 진짜 보지마요 내용도 밋밋하고 밑에 평점보고 표샀는데 재밌다는거 다 댓글알바임 진짜 후회함,밋밋하다 재밌다 후회 
그집,공포영화 클리셰 잡탕 느낌이라 영 별로임,공포영화 클리셰 잡탕 별로 
그집,진짜 짜증났다  놀래키기만 하고 내가 주인공이었으면 귀신면상에 니킥을 날릴듯,짜증나다 놀래다 기만 면상 날리다 
그집,가련한 인간들과 귀신의 만남,가련하다 인간 귀신 만남 
미스비헤이비어,역시 이 언니들은 실망시키지 않아요,언니 실망 
미스비헤이비어,이 영화 나중에 소장하고싶음,소장 
미스비헤이비어,영화 마지막에 나오는 자막이 뼈를 때린다 세상은 아직도 멀었다,마지막 때리다 세상 
미스비헤이비어,세상이 얼마나 바뀌었는지 그리고 얼마나 더 바뀌어야되는지 두 점을 이어 방향을 만들어준 영화,세상 바뀌다 바뀌다 방향 
미스비헤이비어,연출 스토리 모두 좋습니다,스토리 좋다 
미스비헤이비어,관심없었는데 별점보니 관심이 생김,생기다 
초미의 관심사,다양한 사람들이 삐걱거리면서 어울리는 이태원 풍광 괜찮네요,다양하다 어울리다 이태원 괜찮다 
초미의 관심사,한 성깔하는 캐릭터들의 뻔하디 뻔한 나열,뻔하다 뻔하다 
초미의 관심사,감독 초미의 관심사 치타 라는 사실을 잘 보여주는 영화,밉다 관심사 치타 
초미의 관심사,어떤 것들이 평점 주작하냐,주작 
초미의 관심사,오슷 다 소장하고 싶다 생각보다 치타 연기가 괜찮았다 스타일이 다 너무 좋다,소장 치타 괜찮다 스타일 좋다 
초미의 관심사,개존잼 노래 중독성 개쩜,개존잼 노래 중독 개쩜 
아홉 스님,자승 이름만으로도 진실성이 배제되는 느낌,자승 진실성 배제 
아홉 스님,이 정도 고행이면 뭔가 얻긴 얻었을 것 같다,고행 
아홉 스님,넘 불심을 타오르게 하는 영화였네요,불심 타오르다 
아홉 스님,정말 감동젹이게 봤습니다 우리도 저렌 수행을 해보아야 모든것이 소중한지 알고요,감동 수행 소중하다 
아홉 스님,지몸 갈군다고 없는 자비가 생겨나나,갈구다 자비 생겨나다 
"안녕, 미누",엔딩크레디트가 올라갈때 먹먹하면서 깊은 울림이 있는영화,올라가다 깊다 울림 
"안녕, 미누",대한민국의 이기적이고 편협한 현대사를 자신의 인생 전체로 사랑해준 한 남자,대한민국 기적 편협 인생 사랑 남자 
